TIC,our_period,our_classification,score,discovery_category,confidence_95_lower,confidence_95_upper,fetherolf_period,fetherolf_period_error,fetherolf_type,match_type,fractional_diff,within_ci,harmonic_ratio
174206494,0.0304405012726675,ULTRA_SHORT,53,cross_listed,0.0304423278488699,0.0304430585407303,0.030443,1.3e-05,Unknown,direct,8.208561712298319e-05,True,
139898206,0.443102562337168,SHORT,32,cross_listed,0.443257209013584,0.443449412152452,0.443322,0.00287,Unknown,direct,0.0004952299568627293,True,
280033918,0.139364371340953,SHORT,38,cross_listed,0.13938500073365,0.139391692659141,0.139387,0.000307,Unknown,direct,0.00016237047409805674,True,
306109597,0.200168174901898,SHORT,33,cross_listed,0.19998086910248,0.200048943347032,0.200015,0.000625,Unknown,direct,0.0007652310462094053,True,
283866910,0.370241445711746,SHORT,44,cross_listed,0.369666233548102,0.369698717140413,0.369681,0.00202,Unknown,direct,0.0015137303460681568,True,
339960875,0.391096854952277,SHORT,42,cross_listed,0.391631050388916,0.391687531563406,0.391731,0.00236,Unknown,direct,0.0016214526905372411,False,
134222007,0.389633671083398,SHORT,32,cross_listed,0.389851602643548,0.390171886750449,0.780077,0.00871,Unknown,harmonic_2x,0.0010389987997606457,False,2.0
101256414,0.376941637762027,SHORT,43,cross_listed,0.37733543291984,0.377541185155001,0.377434,0.00232,Unknown,direct,0.0013062028405676945,True,
237969900,0.0458733275827262,ULTRA_SHORT,53,cross_listed,0.045880852192978,0.0458828805902577,0.045883,3.2e-05,Unknown,direct,0.00021085057011306223,False,
313025849,0.160399152923057,SHORT,51,cross_listed,0.160466550222096,0.160478109732182,0.160472,0.000372,Unknown,direct,0.0004541612322475235,True,
154384818,0.0794223253153697,ULTRA_SHORT,54,cross_listed,0.0794359885786705,0.0794423451867542,0.079437,9.1e-05,Unknown,direct,0.00018476775355064274,True,
36084020,0.0464047676512634,ULTRA_SHORT,53,cross_listed,0.0464097800077514,0.0464123794337262,0.046411,3.3e-05,Unknown,direct,0.00013430406081204168,True,
150989170,0.143789909681873,SHORT,34,cross_listed,0.143720347642373,0.143723795413697,0.143722,0.000312,Unknown,direct,0.00047228405681075744,True,
142381218,0.0273399472780373,ULTRA_SHORT,54,cross_listed,0.0273365574771141,0.0290116794672054,0.027338,1.1e-05,Unknown,direct,7.122464493062402e-05,True,
179614003,0.0483658739526694,ULTRA_SHORT,53,cross_listed,0.0483569664220755,0.0483600802999481,0.048357,3.5e-05,Unknown,direct,0.00018347549509981407,True,
38680132,0.285103228014144,SHORT,39,cross_listed,0.285410221406397,0.285506485457606,0.285415,0.0012,Unknown,direct,0.001093540708141339,True,
251250634,0.0757263610749235,ULTRA_SHORT,54,cross_listed,0.0757272698203362,0.0757351465276298,0.075731,9.3e-05,Unknown,direct,6.125905181041278e-05,True,
276273177,0.0403464028022147,ULTRA_SHORT,52,cross_listed,0.0403472097625491,0.0403485009662282,0.040348,2.3e-05,Unknown,direct,3.958711742235834e-05,True,
149902303,0.479290508149569,SHORT,34,cross_listed,0.478924219702778,0.479250250323385,0.479129,0.00347,Unknown,direct,0.00033697339467975536,True,
294799849,0.0865041255796338,ULTRA_SHORT,54,cross_listed,0.0865014030382508,0.0865069410331155,0.086504,0.000104,Unknown,direct,1.4517184349465504e-06,True,
445619007,0.191694148324258,SHORT,35,cross_listed,0.191713243357438,0.191779453580311,0.191743,0.000566,Unknown,direct,0.0002548417683536801,True,
81211909,0.438893766461809,SHORT,42,cross_listed,0.43921176213751,0.43952009529981,0.439365,0.0028,Unknown,direct,0.0010736847369465026,True,
41590715,0.215939524838013,SHORT,32,cross_listed,0.215770314376711,0.215817801163683,0.215805,0.000679,Unknown,direct,0.0006229745949191243,True,
173956099,0.466411643963426,SHORT,32,cross_listed,0.466027164049283,0.466244072559269,0.466127,0.00348,Unknown,direct,0.0006102848569713228,True,
